,Question,Answer
11,Explain record type should you select when creating a contact for a child or parent?,"According to the provided context, when creating a Contact for:

* A child, you should always use the Global Search Bar to ensure that the Contact does not already exist in the system. However, there is no specific instruction on what record type to select.
* A parent, when linking family members and adding a new contact, you should select Record Type 'Client'."
12,Explain field should be left blank when adding the first family member to Salesforce?,"According to section (iv), ""Account name: If this is the first family member that has been added to the system leave the ‘Account name’ field blank.  The system will then automatically create an account name using the individual’s surname (e.g. Smith household)."" 

This means that when adding the first family member, the 'Account name' field should be left blank."
13,Explain should you do if the parent's address is different from the child's address?,"According to the context, if the parent's address is different from the child's address, you need to set up the parent as a new household and record a separate address. To do this, follow the steps outlined in Section 1 and leave the 'Account name' field blank. This will create the parent as a new household and allow you to then record a separate address for them."
14,Where should you go to create a Program Engagement for a child?,"To create a Program Engagement for a child, you need to click on the 'Contacts' tab and then click on the name of the contact (which is always the child) and select the option ""Add Contact to Non-School Program""."
15,Explain field must be filled when creating a Program Engagement?,"There are two fields that MUST be filled when creating a Program Engagement:

(i) Complete all relevant fields with referral information
(ii) For the 'Program' field always select 'St Francis Family Centre' or 'St Mark’s Stay & Play'."
16,Explain should you do if a child is referred for a different service after completing a program?,"If a child is referred for a different service after completing a program, you should create a new Program Engagement. This applies even if there is no gap between the services."
17,Explain must you always create before logging a Service Delivery for a child?,You must always create a Program Engagement for a child before logging a Service Delivery.
18,How can you quickly add multiple Service Deliveries for a group of children?,"You can use ""Bulk Service Deliveries"" to quickly enter multiple Service Deliveries at once. To do this, click the “Bulk Service Deliveries” tab at the top of the task bar, select ""create Service Deliveries for an individual"", search for and select the clients, and then repeat steps (i) through (ix) until all Service Deliveries are added."
19,Where do consultations appear after they are logged?,Consultations appear under the 'Consultations' tab within the child's Program Engagement.
20,Explain should you do before creating a new contact in Salesforce?,"Before creating a new Contact in Salesforce, you should use the Global Search Bar to ensure that the Contact does not already exist in the system. If a contact with the same name appears, you can click on the record to verify if it's the correct child (e.g., same DOB or address). If it is the same child, use this Contact Record to create a new Program Engagement."
21,Explain record type should you select when creating a contact for a child or parent?,"According to the context, when creating a Contact (child), you should use 'Standard' as the Record Type.

On the other hand, when creating a Contact (parent) and linking family members, you should always use 'Client' as the Record Type."
22,Explain field should be left blank when adding the first family member to Salesforce?,"According to the context, the field 'Account name' should be left blank when adding the first family member to the system. The system will then automatically create an account name using the individual's surname (e.g. Smith household)."
23,Explain should you do if the parent's address is different from the child's address?,"If the parent's address is different from the child's address, you need to set up the parent as a new household and record a separate address for them. To do this, follow the steps outlined in Section 1 and leave the 'Account name' field blank. This will create the parent as a new household, allowing you to then record a separate address for them."
24,Where should you go to create a Program Engagement for a child?,You should click the 'Contacts' tab.
25,Explain field must be filled when creating a Program Engagement?,"According to the provided context, one of the requirements when creating a Program Engagement is that:

(vii) The 'Program' field should always select either 'St Francis Family Centre' or 'St Mark’s Stay & Play'."
26,Explain should you do if a child is referred for a different service after completing a program?,"If a child is referred for a different service after completing a program, you should create a new Program Engagement. This applies even if there is no gap between services, and it does not matter if the child attends nursery or another activity."
27,Explain must you always create before logging a Service Delivery for a child?,"According to the provided context, a Programme Engagement must always be created for a child before any Service Deliveries can be logged."
28,How can you quickly add multiple Service Deliveries for a group of children?,You can use Bulk Service Deliveries to quickly enter multiple Service Deliveries at once by following steps (i) through (ix) as described in the context.
29,Where do consultations appear after they are logged?,Consultations appear under the 'Consultations' tab within the Program Engagement.
30,Explain should you do before creating a new contact in Salesforce?,"According to the context, you should use the Global Search Bar to ensure that the Contact does not already exist in the system before creating a new Contact in Salesforce. This helps preserve data quality by preventing duplicate contacts from being created."
31,Explain record type should you select when creating a contact for a child or parent?,"According to the context, when creating a contact (child), you should always use the 'Client' Record Type. 

When creating a contact (parent), the same 'Client' Record Type should also be selected, as mentioned in steps (iii) and (iv)."
32,Explain field should be left blank when adding the first family member to Salesforce?,"According to the context, the answer is: Yes. Field 'Account name' should be left blank when adding the first family member to Salesforce because ""If this is the first family member that has been added to the system leave the ‘Account name’ field blank.  The system will then automatically create an account name using the individual’s surname (e.g. Smith household)."""
33,Explain should you do if the parent's address is different from the child's address?,"According to the context, if the parent's address is different from the child's address, you need to set up the parent as a different household by following the steps outlined in Section 1 and leaving the 'Account name' field blank. This will create the parent as a new household, allowing you to then record a separate address for them."
34,Where should you go to create a Program Engagement for a child?,"You should click on the 'Contacts' tab and then select the name of the Contact you want to create a Program Engagement for, which is always the child."
35,Explain field must be filled when creating a Program Engagement?,"According to the context, two fields that must be filled when creating a Program Engagement are:

(i) 'Program' field - must always select either ""St Francis Family Centre"" or ""St Mark's Stay & Play"".

(ii) 'Stage' field - must select ""In Progress""."
36,Explain should you do if a child is referred for a different service after completing a program?,"According to the context, if a child is referred for a different service after completing a program, you should create a new Program Engagement. This applies even if there is no gap between referrals, such as attending nursery and then being referred for after-school care."
37,Explain must you always create before logging a Service Delivery for a child?,"According to the context, a Programme Engagement must always be created for a child before any Service Deliveries can be logged."
38,How can you quickly add multiple Service Deliveries for a group of children?,"You can quickly add multiple Service Deliveries for a group of children by using the ""Bulk Service Deliveries"" function. This involves selecting create Service Deliveries for an individual, searching and selecting the Client(s), Program Engagement, relevant Service, Delivery Date, leaving the Universal Services: Total attendees field blank, recording any Session Summary if applicable, and then clicking ""Add Entry"" to add another Service Delivery for each client, repeating the same steps."
39,Where do consultations appear after they are logged?,"According to the context, Consultations appear under the 'Consultations' tab within the child's Program Engagement."
40,Explain should you do before creating a new contact in Salesforce?,"According to the provided context, you should use the Global Search Bar to ensure that the Contact does not already exist in the system before creating a new Contact. If a contact with the same name appears, you can click on the record to verify if it's the same child (e.g., has the same DOB or address)."
41,Explain record type should you select when creating a contact for a child or parent?,"Based on the provided context, when creating a contact for a:

- Child, you should always use the 'Client' Record Type. 
- Parent, you should also use the 'Client' Record Type."
42,Explain field should be left blank when adding the first family member to Salesforce?,"According to the provided context, when adding the first family member to Salesforce, the ""Account name"" field should be left blank. This is stated in section (i) ""(iii) Complete all fields as required."" and further clarified in section (iv): ""If this is the first family member that has been added to the system leave the ‘Account name’ field blank."""
43,Explain should you do if the parent's address is different from the child's address?,"According to section (viii), if the parent lives at a different address, you need to set them up as a different household. To do this, follow the steps outlined in Section 1 and leave the 'Account name' field blank. This will create the parent as a new household, and you can then record a separate address."
44,Where should you go to create a Program Engagement for a child?,"To create a Program Engagement, click the 'Contacts' tab and then select the name of the child you want to create the engagement for."
45,Explain field must be filled when creating a Program Engagement?,"According to the context, fields must be completed with referral information when creating a Program Engagement."
46,Explain should you do if a child is referred for a different service after completing a program?,"According to the context, if a child is referred for a different service after completing a program, you should create a new Program Engagement. This applies even if there is no gap between services, such as attending nursery and then being referred for after-school care."
47,Explain must you always create before logging a Service Delivery for a child?,"According to the context, yes, you MUST create a Program Engagement for a child BEFORE logging a Service Delivery (Nursery/Stay and Play session)."
48,How can you quickly add multiple Service Deliveries for a group of children?,"You can use ""Bulk Service Deliveries"" to quickly enter multiple Service Deliveries at once. To do this, follow these steps:

(i) Click the “Bulk Service Deliveries” tab at the top of the task bar.
(ii) Select create Service Deliveries for an individual
(iii) Search for and select the Client(s) in the ‘Client’ field
(iv) Select the Program Engagement you want the service delivery added to
(v) Select the relevant Service from the drop down menu
(vi) Enter the Delivery Date
(vii) Leave the ‘Universal Services: Total attendees’ field blank
(viii) Record a Session Summary if applicable
(ix) Click “Add Entry” to add another Service Delivery for another client and repeat the same steps.

This will automatically store multiple Service Deliveries under each child's Program Engagement."
49,Where do consultations appear after they are logged?,"According to the provided context, a Consultation appears under the 'Consultations' tab within the child's Program Engagement."
50,Explain should you do before creating a new contact in Salesforce?,"According to the provided context, before creating a new Contact (child) in Salesforce, you should use the Global Search Bar to ensure that the Contact does not already exist in the system. If a contact with the same name appears, you can verify if it's the same child by checking their date of birth or address."
51,Explain record type should you select when creating a contact for a child or parent?,"According to the context, when creating a Contact:

- For children, use 'Client' Record Type (never use 'Standard').
- For parents, use 'Client' Record Type as well."
52,Explain field should be left blank when adding the first family member to Salesforce?,"According to the context, when adding the first family member to the system and leaving the 'Account name' field blank, the system will automatically create an account name using the individual's surname. This means that the field should be left blank for the first family member to allow the system to generate a household name based on their surname."
53,Explain should you do if the parent's address is different from the child's address?,"According to the context, if the parent's address is different from the child's address, you need to create a new household for the parent by following the steps outlined in Section 1 and leaving the 'Account name' field blank. Then, click Save.

This will create a separate household for the parent with their own address details, rather than updating the existing household of the child (Bunny Household) with the parent's address."
54,Where should you go to create a Program Engagement for a child?,"To create a Program Engagement, click on the 'Contacts' tab and select the name of the Contact you want to create a Program Engagement for (which is always the child)."
55,Explain field must be filled when creating a Program Engagement?,"According to the context, fields (iv) ""Complete all relevant fields with referral information"" and specifically(vii) 'Save' are implied as necessary steps in creating a Program Engagement. However, no specific field is explicitly stated that MUST be filled when creating a Program Engagement.

It is mentioned that for the ‘Program’ field, always select either ‘St Francis Family Centre’ or ‘St Mark’s Stay & Play’, and for the ‘Stage’ field, select ‘In Progress’."
56,Explain should you do if a child is referred for a different service after completing a program?,"According to the context, if a child is referred for a different service after completing a program, you should create a new Program Engagement. This applies even if there is no gap between referrals, such as attending nursery and then being referred for after-school care."
57,Explain must you always create before logging a Service Delivery for a child?,"According to the context, it is required that a Program Engagement must always be created for a child first before any Service Deliveries can be logged."
58,How can you quickly add multiple Service Deliveries for a group of children?,"You can quickly add multiple Service Deliveries for a group of children by using the ""Bulk Service Deliveries"" function. To do this, follow these steps:

(i) Click the “Bulk Service Deliveries” tab at the top of the task bar.
(ii) Select create Service Deliveries for an individual
(iii) Search for and select the Client in the ‘Client’ field
(iv) Select the Program Engagement you want the service delivery added to
(v) Select the relevant Service from the drop down menu
(vi) Enter the Delivery Date
(vii) Leave the ‘Universal Services: Total attendees’ field blank.
(viii) Record a Session Summary if applicable
(ix) Click “Add Entry” to add another Service Delivery for another client and repeat the same steps.

Then, click ""Save"" to automatically store multiple Service Deliveries under each child's Program Engagement."
59,Where do consultations appear after they are logged?,"According to the context, a Consultation appears in the 'Consultations' tab within the child's Program Engagement."
60,Explain should you do before creating a new contact in Salesforce?,"Before creating a new contact in Salesforce, you should use the Global Search Bar to ensure that the Contact does not already exist in the system. If a contact with the same name appears, you can click on the record to verify if this is the same child (e.g., does it have the same DOB or address)."
61,Explain record type should you select when creating a contact for a child or parent?,"According to the provided context, when creating a contact (child), you should always use the ""Client"" Record Type. 

When creating a contact (parent) and linking family members, you should select Record Type 'Client'."
62,Explain field should be left blank when adding the first family member to Salesforce?,"According to the context, when adding the first family member to the system, the 'Account name' field should be left blank. The system will then automatically create an account name using the individual's surname (e.g. Smith household)."
63,Explain should you do if the parent's address is different from the child's address?,"According to the context, if the parent's address is different from the child's address, you need to set them up as a different household. To do this, follow the steps outlined in Section 1 and leave the 'Account name' field blank. This will create the parent as a new household and you can then record a separate address."
64,Where should you go to create a Program Engagement for a child?,You should click on the 'Contacts' tab and then select the child's name from the list.
65,Explain field must be filled when creating a Program Engagement?,"According to the context, it is not explicitly stated that any specific ""field"" must be filled when creating a Program Engagement. However, there are several required fields mentioned:

(i) Click the ‘Contacts’ tab
(ii) Click on the name of a Contact you want to create a Program Engagement for (NB. This should always be the child.  Never create a Program Engagement 
for a parent)
(iv) Complete all relevant fields with referral information

It can be inferred that most or all of these ""fields"" are required, but the exact specification is not provided in the given context."
66,Explain should you do if a child is referred for a different service after completing a program?,"According to the context, when a child is referred for a different service after completing a program, you should create a new Program Engagement. This applies even if there is no gap between services, such as nursery and after-school care. You should not merge or update the existing Program Engagement with the new referral information, but instead, establish a new one to reflect the child's engagement in the different service."
67,Explain must you always create before logging a Service Delivery for a child?,"According to the context, yes, you must always create a Program Engagement for a child before logging a Service Delivery (nursery/play session). This is stated in section 4. Recording a Service Delivery (Nursery/Stay and Play session), which states: ""Program Engagement must always be created for a child first before any Service Deliveries can be logged""."
68,How can you quickly add multiple Service Deliveries for a group of children?,"You can use 'Bulk Service Deliveries' to quickly enter multiple Service Deliveries at once. To do this, click the ""Bulk Service Deliveries"" tab, select ""create Service Deliveries for an individual"", search for and select the Client, then follow steps (iii) through (ix)."
69,Where do consultations appear after they are logged?,"According to the provided context, after a consultation is logged, it appears under the 'Consultations' tab within the child's Program Engagement."
70,Explain should you do before creating a new contact in Salesforce?,"According to the provided context, before creating a new Contact in Salesforce, you should always use the Global Search Bar to ensure that the Contact does not already exist in the system."
71,Explain record type should you select when creating a contact for a child or parent?,"According to the context, when creating a contact:

* For children, use Record Type 'Standard'
* For parents, use Record Type 'Client'"
72,Explain field should be left blank when adding the first family member to Salesforce?,"According to the context, when adding the first family member to the system and leaving the 'Account name' field blank, the system will then automatically create an account name using the individual's surname (e.g. Smith household)."
73,Explain should you do if the parent's address is different from the child's address?,"According to the context, if the parent's address is different from the child's address, you need to set them up as a different household. To do this, follow the steps outlined in Section 1 and leave the 'Account name' field blank, which will create the parent as a new household and allow you to record a separate address."
74,Where should you go to create a Program Engagement for a child?,"To create a Program Engagement for a child, you need to click the 'Contacts' tab and then click on the name of the child."
75,Explain field must be filled when creating a Program Engagement?,"The answer is not explicitly stated in the context, but it can be inferred that some fields are required when creating a Program Engagement. The following fields have specific instructions:

* For the 'Program' field, you must select either ""St Francis Family Centre"" or ""St Mark's Stay & Play"".
* For the 'Stage' field, you must select ""In Progress"".

However, it is not explicitly stated that other fields require completion when creating a Program Engagement."
76,Explain should you do if a child is referred for a different service after completing a program?,"According to the context, if a child is referred for a different service after completing a program, you must create a new Program Engagement. The guidance states that even if there is no gap between services, a new Program Engagement should be created for each instance of referral."
77,Explain must you always create before logging a Service Delivery for a child?,"According to the context, a Programme Engagement must be created for a child before any Service Deliveries can be logged. This is stated in section 4."
78,How can you quickly add multiple Service Deliveries for a group of children?,"You can use Bulk Service Deliveries to quickly enter multiple Service Deliveries at once by following these steps:

(i) Click the “Bulk Service Deliveries” tab at the top of the task bar.
(ii) Select create Service Deliveries for an individual
(iii) Search for and select the Client in the ‘Client’ field
(iv) Select the Program Engagement you want the service delivery added to
(v) Select the relevant Service from the drop down menu
(vi) Enter the Delivery Date
(vii) Leave the ‘Universal Services: Total attendees’ field blank
(viii) Record a Session Summary if applicable
(ix) Click “Add Entry” to add another Service Delivery for another client and repeat the same steps.

This will allow you to quickly enter multiple Service Deliveries at once for a group of children."
79,Where do consultations appear after they are logged?,"According to the context, a Consultation appears under the 'Consultations' tab within the child's 'Program Engagement'."
80,Explain should you do before creating a new contact in Salesforce?,"According to the provided context, you should use the Global Search Bar to ensure that the Contact does not already exist in the system before creating a new Contact in Salesforce."
81,Explain record type should you select when creating a contact for a child or parent?,"According to the context, when creating a contact:

* For children, the record type is ""Standard"".
* For parents (or clients), the record type is ""Client""."
82,Explain field should be left blank when adding the first family member to Salesforce?,"According to the context, when adding the first family member to Salesforce, the 'Account name' field should be left blank. The system will then automatically create an account name using the individual's surname (e.g. Smith household)."
83,Explain should you do if the parent's address is different from the child's address?,"According to the context, if the parent's address is different from the child's address, you need to set up the parent as a separate household and record a new address for them. This is because you cannot have different addresses for members of the same household. To do this, follow the steps outlined in Section 1 and leave the 'Account name' field blank, which will create a new household for the parent and allow you to record their separate address."
84,Where should you go to create a Program Engagement for a child?,"You should click on the 'Contacts' tab and then select the child's name from the list, then click on 'Add Contact to Non-School Program'."
85,Explain field must be filled when creating a Program Engagement?,"According to the provided context, all relevant fields must be completed with referral information when creating a Program Engagement."
86,Explain should you do if a child is referred for a different service after completing a program?,"According to the context, if a child is referred for a different service after completing a program, you should create a new Program Engagement. Even if there's no gap between services (e.g., attending nursery followed by after-school care), a new Program Engagement must be created for each subsequent service."
87,Explain must you always create before logging a Service Delivery for a child?,"According to the context, you MUST always create a Programme Engagement (also referred to as a Program Engagement) for a child before logging a Service Delivery (Nursery/Stay and Play session)."
88,How can you quickly add multiple Service Deliveries for a group of children?,"You can quickly add multiple Service Deliveries for a group of children by using the 'Bulk Service Deliveries' function. To do this:

(i) Click the “Bulk Service Deliveries” tab at the top of the task bar.
(ii) Select create Service Deliveries for an individual
(iii) Search for and select the Client in the ‘Client’ field
(iv) Select the Program Engagement you want the service delivery added to
(v) Select the relevant Service from the drop down menu
(vi) Enter the Delivery Date
(vii) Leave the ‘Universal Services: Total attendees’ field blank.
(viii) Record a Session Summary if applicable
(ix) Click “Add Entry” to add another Service Delivery for another client and repeat 
the same steps.

Then, click ""Save"" to automatically store the multiple Service Deliveries under each child's Program Engagement."
89,Where do consultations appear after they are logged?,"According to the context, after a consultation is logged, it appears under the 'Consultations' tab within the child's Program Engagement."
90,Explain should you do before creating a new contact in Salesforce?,"According to the provided context, before creating a new Contact in Salesforce, you should use the Global Search Bar to ensure that the Contact does not already exist in the system. If a contact with the same name appears, you can verify if it is the same child (e.g., has the same DOB or address), and if so, use this existing Contact Record to create a new Program Engagement."
91,Explain record type should you select when creating a contact for a child or parent?,"According to the provided context, when creating a contact:

*   If adding a child as a Contact, the Record Type should be 'Client'.
*   When adding a parent as a Contact, the Record Type should also be 'Client'."
92,Explain field should be left blank when adding the first family member to Salesforce?,"According to the context, when adding the first family member to the system, the ""Account name"" field should be left blank. The system will then automatically create an account name using the individual's surname (e.g. Smith household)."
93,Explain should you do if the parent's address is different from the child's address?,"According to the provided context, if the parent's address is different from the child's address, you need to create a new household for the parent by following the steps outlined in Section 1 and leaving the 'Account name' field blank. Then, click Save. This will allow you to record a separate address for the parent without having different addresses for members of the same household."
94,Where should you go to create a Program Engagement for a child?,You should click the 'Contacts' tab.
95,Explain field must be filled when creating a Program Engagement?,"According to the provided context, fields that ""must"" be filled are not explicitly stated. However, it can be inferred that certain fields should be completed with referral information for a Program Engagement to be created.

Specifically, fields (iv) and (vii) require completion: 

(iv) For the 'Program' field, you must select either 'St Francis Family Centre' or 'St Mark's Stay & Play'.

(vii) Click 'Save'

However, it is not explicitly stated which other fields ""must"" be filled when creating a Program Engagement."
96,Explain should you do if a child is referred for a different service after completing a program?,"According to the context, if a child is referred for a different service after completing a program, you should create a new Program Engagement. This applies even if there is no gap between services."
97,Explain must you always create before logging a Service Delivery for a child?,"You must always create a Program Engagement for a child before logging a Service Delivery for that child, as per the provided context."
98,How can you quickly add multiple Service Deliveries for a group of children?,"You can quickly add multiple Service Deliveries for a group of children by using the ""Bulk Service Deliveries"" function. To do this, follow steps (i) to (ix) as described in the context:

(i) Click the “Bulk Service Deliveries” tab at the top of the task bar.

(ii) Select create Service Deliveries for an individual

(iii) Search for and select the Client in the ‘Client’ field

(iv) Select the Program Engagement you want the service delivery added to

(v) Select the relevant Service from the drop down menu

(vi) Enter the Delivery Date

(vii) Leave the ‘Universal Services: Total attendees’ field blank.

(viii) Record a Session Summary if applicable

(ix) Click “Add Entry” to add another Service Delivery for another client and repeat the same steps.

This will allow you to quickly create multiple Service Deliveries at once, all within one Program Engagement."
99,Where do consultations appear after they are logged?,"According to the context, consultations appear under the 'Consultations' tab within the child's Program Engagement."
